Key# Note Drum Sound
35   B0   Acoustic Bass Drum 
36   C1   Bass Drum 1        
37   C#1  Side Stick         
38   D1   Acoustic Snare     
39   Eb1  Hand Clap          
40   E1   Electric Snare     
41   F1   Low Floor Tom      
42   F#1  Closed Hi Hat      
43   G1   High Floor Tom     
44   Ab1  Pedal Hi-Hat       
45   A1   Low Tom            
46   Bb1  Open Hi-Hat        
47   B1   Low-Mid Tom        
48   C2   Hi Mid Tom         
49   C#2  Crash Cymbal 1     
50   D2   High Tom           
51   Eb2  Ride Cymbal 1      
52   E2   Chinese Cymbal     
53   F2   Ride Bell          
54   F#2  Tambourine         
55   G2   Splash Cymbal      
56   Ab2  Cowbell            
57   A2   Crash Cymbal 2     
58   Bb2  Vibraslap
59   B2   Ride Cymbal 2
60   C3   Hi Bongo
61   C#3  Low Bongo
62   D3   Mute Hi Conga
63   Eb3  Open Hi Conga
64   E3   Low Conga
65   F3   High Timbale
66   F#3  Low Timbale
67   G3   High Agogo
68   Ab3  Low Agogo
69   A3   Cabasa
70   Bb3  Maracas
71   B3   Short Whistle
72   C4   Long Whistle
73   C#4  Short Guiro
74   D4   Long Guiro
75   Eb4  Claves
76   E4   Hi Wood Block
77   F4   Low Wood Block
78   F#4  Mute Cuica
79   G4   Open Cuica
80   Ab4  Mute Triangle
81   A4   Open Triangle
